Name,Category,Description,Website,Email,Phone,Address,City,State,Zip,Source_URL
Advanced Mechanical Insulators,,,http://aitinsulation.com/ami/,Email available (Cloudflare protected),513-733-4248,6071 Branch Hill Guinea Pike,Milford,OH,45150,https://thevoiceofblackcincinnati.com/black-owned-business/advanced-mechanical-insulators/
Afromeals Cooking Classes and Catering,,,https://afromeals.com/,Email available (Cloudflare protected),513-783-1955,1719 Elm Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/afromeals-cooking-classes-and-catering/
Ahbad's Lawn Care Service,,,https://www.ahbadslawncare.com/quote,Email available (Cloudflare protected),513-497-6556,9234 Neil Dr,Cincinnati,OH,45231,https://thevoiceofblackcincinnati.com/black-owned-business/ahbads-lawn-care-service/
AJ's Cheesesteaks,,,https://www.ajscheesesteak.com/,Email available (Cloudflare protected),513-836-9091,4301 Whetsel Avenue,Madisonville,OH,45227,https://thevoiceofblackcincinnati.com/black-owned-business/ajs-cheesesteaks/
Alabama Que BBQ Restaurant and Catering,,,http://alabama-q.com,Email available (Cloudflare protected),513-376-8781,2733 Short Vine St,Cincinnati,OH,45219,https://thevoiceofblackcincinnati.com/black-owned-business/alabama-que-bbq-restaurant-and-catering/
All About the Ahh Massage,,,http://www.thevoiceofyourcustomer.com/,Email available (Cloudflare protected),513-284-4243,7505 Reading Rd.,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/all-about-the-ahh-massage/
Alleylaidit Nails,,,http://alleylaidit.com,Email available (Cloudflare protected),513-349-8091,9454 Kenwood Road,Cincinnati,OH,45242,https://thevoiceofblackcincinnati.com/black-owned-business/alleylaidit/
Almost V'Gan Lounge,,,https://www.avlounge513.com/,Email available (Cloudflare protected),513-400-5922,34 E. Court Street,Cincinnati,,45202,https://thevoiceofblackcincinnati.com/black-owned-business/almost-vgan-lounge/
Altev Community Pharmacy,,,https://www.altevrx.com/,Email available (Cloudflare protected),513-776-4580,3559 Reading Road,Cincinnati,OH,45229,https://thevoiceofblackcincinnati.com/black-owned-business/altev-community-pharmacy/
American Compassionate Care,,,https://www.facebook.com/AmericanCompassionateCare/,Email available (Cloudflare protected),513-443-8156,5960 Glenway Ave,Cincinnati,OH,45238,https://thevoiceofblackcincinnati.com/black-owned-business/american-compassionate-care/
AMW Group,,,https://amwgroup.net,Email available (Cloudflare protected),513-394-7430,2639 Erie Avenue,Cincinnati,OH,45208,https://thevoiceofblackcincinnati.com/black-owned-business/amw-group/
Arabesque Dance Academy,,,https://www.adancecincy.com/,Email available (Cloudflare protected),513-401-5361,1500 Goodman Ave,Cincinnati,OH,45231,https://thevoiceofblackcincinnati.com/black-owned-business/arabesque-dance-academy/
Arch Realty,,,https://wearearchrealty.com/,Email available (Cloudflare protected),513-200-6317,PO Box 31210,Cincinnati,OH,45231,https://thevoiceofblackcincinnati.com/black-owned-business/arch-realty/
Art By Autumn M.,,,https://www.allcheri.com/,Email available (Cloudflare protected),513-443-8152,1850 Harmon Drive,West Chester,OH,45215,https://thevoiceofblackcincinnati.com/black-owned-business/art-by-autumn-m/
Art of Fitness,,,https://www.facebook.com/theartoffitness24/,Email available (Cloudflare protected),513-430-6362,6630 Hamilton Avenue,Cincinnati,OH,45224,https://thevoiceofblackcincinnati.com/black-owned-business/art-of-fitness/
"Arthur W. Harmon, Jr. Attorney at Law",,,https://harmonattorney.com,Email available (Cloudflare protected),513-793-1991,8044 Montgomery Rd Ste 700,Cincinnati,OH,45236,https://thevoiceofblackcincinnati.com/black-owned-business/arthur-w-harmon-jr-attorney-at-law/
Artistry by Ronnie,,,https://www.facebook.com/ArtistrybyRonnie/,Email available (Cloudflare protected),513-889-7885,5202 Montgomery Road,Cincinnati,OH,45212,https://thevoiceofblackcincinnati.com/black-owned-business/artistry-by-ronnie/
Asé Holistic Health Service,,,https://www.asesadaqa.com/,Email available (Cloudflare protected),513-707-8073,20 High Street Suite 306,Hamilton,OH,45011,https://thevoiceofblackcincinnati.com/black-owned-business/ase-holistic-health-service-school/
Assist Financial Group,,,https://assistfinancialgroup.com/,Email available (Cloudflare protected),513-825-6847,7812 Hamilton Avenue,Cincinnati,OH,45231,https://thevoiceofblackcincinnati.com/black-owned-business/assist-financial-group-llc/
ATMOS 360 Manufacturing,,,http://www.atmos360.com/,Email available (Cloudflare protected),513-889-5069,4690 Interstate Dr Suite A,Cincinnati,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/atmos-360-manufacturing/
Avi Luxe Event Planning,,,https://aviluxeevents.com/,Email available (Cloudflare protected),(513) 549-4830,9768 Deer Track Road,West Chester,OH,45069,https://thevoiceofblackcincinnati.com/black-owned-business/avi-luxe-events/
AWA Business Corporation,,,https://awa-construction.com/,Email available (Cloudflare protected),513-579-8333,700 W Pete Rose Way,Cincinnati,OH,45203,https://thevoiceofblackcincinnati.com/black-owned-business/awa-business-corporation/
Axiom Flooring Enterprises,,,http://www.axiomflooring.com/,Email available (Cloudflare protected),513-645-2380,10737 Medallion Drive,Cincinnati,OH,45241,https://thevoiceofblackcincinnati.com/black-owned-business/axiom-flooring-enterprises-llc/
B & Z Alliance Insurance,,,https://www.bzalliance.com,Email available (Cloudflare protected),513-436-1897,5229 Secretariat Dr,Morrow,OH,45152,https://thevoiceofblackcincinnati.com/black-owned-business/b-z-alliance-insurance/
B7 Cleaning Services/DB3 Solutions,,,https://www.b7service.com/,Email available (Cloudflare protected),513-410-8411,"250 E. 5th Street, 15th Floor",Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/b7-services/
Balizza Healthcare Solutions,,,http://www.Balizzahcs.org,Email available (Cloudflare protected),513-407-6561,"Harrison ave in Cheviot, Opposite the Post office",Cincinnati,OH,45211,https://thevoiceofblackcincinnati.com/black-owned-business/balizza-healthcare-solutions/
Bar 29,,,https://www.facebook.com/p/Bar-29-100041946136436/,Email available (Cloudflare protected),513-429-4044,4040 Reading Rd,Cincinnati,OH,45229,https://thevoiceofblackcincinnati.com/black-owned-business/bar-29/
Barcode Glam Studio,,,https://barcodeglam.com/pages/studio1,Email available (Cloudflare protected),513-294-8587,7817 Cooper Rd,Cincinnati,OH,45242,https://thevoiceofblackcincinnati.com/black-owned-business/barcode-glam-studio/
Barnes Real Estate,,,https://barnesrealestategroup.com/,Email available (Cloudflare protected),513-527-4660,6004 Madison Road,Cincinnati,OH,45227,https://thevoiceofblackcincinnati.com/black-owned-business/barnes-real-estate/
Battle Axe Construction,,,http://www.battleaxeconstruction.com/,Email available (Cloudflare protected),513-874-4695,11435 Sebring Drive,Cincinnati,OH,45240,https://thevoiceofblackcincinnati.com/black-owned-business/battle-axe-construction-llc/
BB’s Beauty Bar,,,https://www.facebook.com/bbsbeautybarllc/,Email available (Cloudflare protected),513-818-3043,6 Triangle Park Drive,Cincinnati,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/bbs-beauty-bar/
Be Defined Training & Companion Care,,,https://www.bedefinedcare.com,Email available (Cloudflare protected),513-400-3793,1701 Mills Avenue,Norwood,OH,45212,https://thevoiceofblackcincinnati.com/black-owned-business/be-defined/
Beauty By A Monique,,,https://www.instagram.com/beautybyamonique/,Email available (Cloudflare protected),513-728-1044,10945 Reed Hartman Highway,Cincinnati,OH,45242,https://thevoiceofblackcincinnati.com/black-owned-business/beauty-by-a-monique/
Beauty By Trinity Professional Salon,,,https://www.beautybytrinitysalon.com,Email available (Cloudflare protected),513-405-7179,7710 Reading Road,"Cincinnati, OH",OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/beauty-by-trinity/
BeezFly Closet,,,https://beezflycloset.com/,Email available (Cloudflare protected),513-984-2359,2541 Cook Street,Cincinnati,OH,45214,https://thevoiceofblackcincinnati.com/black-owned-business/beezfly-closet/
Best Behavioral Health,,,https://www.bestbh.org/,Email available (Cloudflare protected),(513) 954-8005,2300 Montana Ave.,Cincinnati,OH,45211,https://thevoiceofblackcincinnati.com/black-owned-business/best-behavioral-health/
Best Thing Smokin' Food Truck,,,https://www.facebook.com/pages/category/Barbecue-Restaurant/Best-thing-smokin-878361462176526/,Email available (Cloudflare protected),513-638-9990,411 Kemper Road,Cincinnati,OH,45240,https://thevoiceofblackcincinnati.com/black-owned-business/bestthingsmokin/
Big Jays Place Caribbean Restaurant,,,http://bigjaysplace.com/,Email available (Cloudflare protected),513-493-4010,930 Hempstead Drive,Cincinnati,OH,45231,https://thevoiceofblackcincinnati.com/black-owned-business/big-jays-place/
Black & Bossie,,,https://blackandbossie.com/,Email available (Cloudflare protected),513-328-6581,242 W McMicken Ave,Cincinnati,OH,45214,https://thevoiceofblackcincinnati.com/black-owned-business/black-bossie/
Black Career Women's Network,,,https://bcwnetwork.com,Email available (Cloudflare protected),513-729-9724,114 Pike St,Covington,KY,41011,https://thevoiceofblackcincinnati.com/black-owned-business/black-career-womens-network/
Black Coffee,,,https://www.blackcoffeeblend.com/,Email available (Cloudflare protected),513-802-5228,824 Elm Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/black-coffee-lounge/
BlaCkOWned Outerwear,,,http://www.BlaCkOWned19xx.com/,Email available (Cloudflare protected),513-407-3496,822 Elm Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/black-owned-outerwear/
Phillips Travel,,,http://www.philtrips.com,Email available (Cloudflare protected),513-258-1180,1140 Indian Mound Drive,Milford,OH,45150,https://thevoiceofblackcincinnati.com/black-owned-business/black-owned-travel-phillips-cincinnati/
Black T.I.E. Protective Services,,,https://blacktieprotectiveservices.com/,Email available (Cloudflare protected),513-579-0906,1931 Freeman Avenue,Cincinnati,OH,45214,https://thevoiceofblackcincinnati.com/black-owned-business/black-t-i-e-protective-services/
Blossoms Florist,,,http://blossomsfloristinc.com,Email available (Cloudflare protected),513-531-7673,8711 Reading Road,Cincinnati,OH,45215,https://thevoiceofblackcincinnati.com/black-owned-business/blossoms-florist/
BlueRose Product Supply,,,http://www.bluerosesupply.com,Email available (Cloudflare protected),513-793-6763,1630 Sherman Avenue,Cincinnati,OH,45212,https://thevoiceofblackcincinnati.com/black-owned-business/bluerose-supply-company/
Blush The Event Loft,,,http://www.blushcincy.com,Email available (Cloudflare protected),513-836-9499,815 Race Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/blush-event-loft/
Bob Shropshire Sons Driving School,,,https://www.bobsshropshiresons.com/?redir_mode=301,Email available (Cloudflare protected),513-721-3915,806 Main Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/bob-shropshire-sons-llc/
Bodied by Rico,,,https://www.bodiedbyrico.com/,Email available (Cloudflare protected),513-667-9169,4865 Duck Creek Road,Cincinnati,,45227,https://thevoiceofblackcincinnati.com/black-owned-business/bodied-by-rico/
BOL Acai Bowls,,,https://www.bolonline.org/,Email available (Cloudflare protected),513-903-9636,8920 Cheviot Road,Cincinnati,OH,45251,https://thevoiceofblackcincinnati.com/black-owned-business/bol-acai-bowl-bar/
Bonita & Bello,,,https://www.bonitabello.com/,Email available (Cloudflare protected),513-546-8483,6809 Main Street,Cincinnati,OH,45244,https://thevoiceofblackcincinnati.com/black-owned-business/bonita-bello/
Boomtown Biscuits and Whiskey,,,https://www.boomtownbiscuitsandwhiskey.com/,Email available (Cloudflare protected),859-384-5910,9039 US-42,Union,KY,41091,https://thevoiceofblackcincinnati.com/black-owned-business/boomtown-biscuits-and-whiskey/
Bouchard's Bakery and Pasta,,,http://www.thevoiceofyourcustomer.com/,Email available (Cloudflare protected),(513) 381-5838,1801 Race Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/bouchards-bakery/
Boutique Business Solutions,,,https://www.boutiquebusinesssolutions.com/,Email available (Cloudflare protected),513-572-4662,P.O. Box 19648,Cincinnati,OH,45219,https://thevoiceofblackcincinnati.com/black-owned-business/boutique-business-solutions/
BRBS World,,,https://www.brbsworld.com/,Email available (Cloudflare protected),513-604-5425,"11851 Spiral Pass, Cincinnati, OH 45249",Cincinnati,OH,45249,https://thevoiceofblackcincinnati.com/black-owned-business/brbs-world-llc/
Breakthrough Lens,,,https://www.breakthroughlens.com,Email available (Cloudflare protected),513-299-8216,700 Wessel Drive #18735,Fairfield,OH,45018-0735,https://thevoiceofblackcincinnati.com/black-owned-business/breakthrough-lens/
BreakThru Business Solutions,,,https://www.btbsconsulting.com/,Email available (Cloudflare protected),513-884-4937,6619 Hollow Tree Court,Mason,OH,45040,https://thevoiceofblackcincinnati.com/black-owned-business/breakthru-business-solutions/
Brewster Pumping,,,http://brewsterpumping.com/,Email available (Cloudflare protected),513-559-0100,2335 Florence Avenue,Cincinnati,OH,45206,https://thevoiceofblackcincinnati.com/black-owned-business/brewster-pumping/
Brooks Printing & Promotions,,,http://www.brooksprintingandpromotions.com,Email available (Cloudflare protected),513-305-1415,P.O. Box 9692,Cincinnati,OH,45209,https://thevoiceofblackcincinnati.com/black-owned-business/brooks-printing-promotions/
Brow Therapy,,,http://facebook.com/browtherapybylynn,Email available (Cloudflare protected),513-462-5750,2337 Victory Parkway,Cincinnati,OH,45206,https://thevoiceofblackcincinnati.com/black-owned-business/brow-therapy/
BTH Construction and Design,,,http://bthconstruction.org/,Email available (Cloudflare protected),513-655-7987,906 Monmouth St,Newport,KY,41071,https://thevoiceofblackcincinnati.com/black-owned-business/bth-construction/
Bugatti's Ultra Lounge,,,https://bugattisultralounge.com/,Email available (Cloudflare protected),513-407-3859,340 Glensprings Drive,Springdale,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/bugattis-ultra-lounge/
Caldwell Family Wellness,,,http://www.caldwellacupuncture.com,Email available (Cloudflare protected),513-834-8173,10999 Reed Hartman Hwy Suite 231,Blue Ash,OH,45242,https://thevoiceofblackcincinnati.com/black-owned-business/caldwell-family-wellness/
Call On An Angel Salon,,,https://callonanangel.com/,Email available (Cloudflare protected),513-204-9054,"516 Linn Street, Suite 404",Cincinnati,OH,45203,https://thevoiceofblackcincinnati.com/black-owned-business/call-on-an-angel/
Calming Souls Massage,,,http://www.calmingsoulsmassage.com/,Email available (Cloudflare protected),513-549-1568,7505 Reading Road,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/calming-souls-massage/
Catherine's Good Eats Soul Food Kitchen,,,https://dinercincinnati.com/,Email available (Cloudflare protected),513-873-4521,122 W. Wyoming Avenue,Cincinnati,OH,45236,https://thevoiceofblackcincinnati.com/black-owned-business/catherines-good-eats/
Chamaele Herbs and Superfoods,,,https://www.productsbychamaele.com/,Email available (Cloudflare protected),513-970-6769,1719 Elm Street,Cincinnati,OH,45214,https://thevoiceofblackcincinnati.com/black-owned-business/chamaele/
Chamoda's Candy Cafe,,,https://chamodascandycafe.ecwid.com/,Email available (Cloudflare protected),513-782-0977,11512 Chester Road,Cincinnati,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/chamodas-candy-cafe/
The Che International Group,,,http://www.cheinternationalgroup.com,Email available (Cloudflare protected),(513) 229-7595,PO Box 507,Mason,OH,45040,https://thevoiceofblackcincinnati.com/black-owned-business/che-international-group/
Cheap Tree Service,,,https://www.home8.org/OH/Fairfield/Cheap-Tree-Service-Fairfield-OH/,Email available (Cloudflare protected),513-482-9600,"P.O. Box 18501 Fairfield, Ohio 45018",Cincinnati,OH,45018,https://thevoiceofblackcincinnati.com/black-owned-business/cheap-tree-service/
Chef Nem Kitchen,,,https://chefnemkitchen.com/,Email available (Cloudflare protected),513-602-8082,3305 Reading Road,Cincinnati,OH,45229,https://thevoiceofblackcincinnati.com/black-owned-business/chef-nem-kitchen/
Chico's Cheesecakes,,,https://www.chicoscheesecakes.com/,Email available (Cloudflare protected),513-802-2050,1719 Elm Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/chicos-cheesecakes/
The Cincinnati Black Theatre Company,,,https://cincinnatiblacktheatre.org/,Email available (Cloudflare protected),513- 241-6060,2237 Losantiville Ave,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/cincinnati-black-theatre-company/
Cincinnati Healing Arts,,,https://www.cincinnatihealingarts.com/,Email available (Cloudflare protected),513-376-3996,3559 Reading Rd,Cincinnati,OH,45229,https://thevoiceofblackcincinnati.com/black-owned-business/cincinnati-healing-arts/
Cincinnati Healthy Hair Pampering Parlor,,,https://www.vagaro.com/cintihealthyhair,Email available (Cloudflare protected),513-630-8238,3361 Westbourne Drive,Cincinnati,OH,45248,https://thevoiceofblackcincinnati.com/black-owned-business/cincinnati-healthy-hair-pampering-parlor/
Cincinnati Muscle Therapy,,,https://cincinnatimuscletherapyllc.com/,Email available (Cloudflare protected),513-208-3564,6240 Hamilton Ave.,Cincinnati,OH,45224,https://thevoiceofblackcincinnati.com/black-owned-business/cincinnati-muscle-therapy/
Cincy Tax & Notary Professionals,,,http://cincytaxnotaryprofessionalsllc.com/?utm_source=gmb&utm_medium=referral,Email available (Cloudflare protected),513-508-0066,22 Triangle Park Dr Ste2201i,Cincinnati,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/cincy-tax-notary-professionals/
Cinema OTR,,,https://www.thecinemaotr.com/,Email available (Cloudflare protected),513-818-5058,1517 Vine Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/cinema-otr/
City Belle Fried Pies,,,https://www.citybellefriedpies.com/,Email available (Cloudflare protected),(513) 330-2242,1719 Elm St,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/city-belle-fried-pies/
Classy Chics Shoe Boutique,,,https://classychicsshoeboutique.com,Email available (Cloudflare protected),513-480-9650,905 W North Bend Road,Cincinnati,OH,45224,https://thevoiceofblackcincinnati.com/black-owned-business/classy-chics-shoe-boutique/
CM-GC Construction,,,http://www.cm-gc.com/,Email available (Cloudflare protected),513-675-9966,1810 Section Road,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/cm-gc/
Coach Xola Nicole,,,https://www.coachxolanicole.com/,Email available (Cloudflare protected),(513) 223-3508,800 Compton Rd. Unit 6,Cincinnati,OH,45231,https://thevoiceofblackcincinnati.com/black-owned-business/coach-xola-nicole/
Cocoa Books Publishing,,,https://www.cocoabooksstore.com,Email available (Cloudflare protected),(513) 313-4592,8465 Colerain ave,Cincinnati,OH,45239,https://thevoiceofblackcincinnati.com/black-owned-business/cocoa-books/
Collaborative Counseling Services,,,http://Collabcounselingnow.org,Email available (Cloudflare protected),513-801-7278,1100 Eaton Ave.,Hamilton,OH,45013,https://thevoiceofblackcincinnati.com/black-owned-business/collaborative-counseling-services/
Community Barbershop,,,https://communitybarbershopinc.com/,Email available (Cloudflare protected),513-886-1098,1339 Walnut St.,Cincinnati,,45202,https://thevoiceofblackcincinnati.com/black-owned-business/community-barbershop/
Community Lawn and Services,,,https://www.facebook.com/communitylawnandservicesllc?mibextid=ZbWKwL,Email available (Cloudflare protected),513-614-6659,PO Box 24223,Cincinnati,OH,45224,https://thevoiceofblackcincinnati.com/black-owned-business/community-lawn-and-services/
Compress CPR Training,,,https://www.facebook.com/profile.php?id=100039504624869,Email available (Cloudflare protected),(513) 549-1846,11427 Reed Hartman Highway,Cincinnati,OH,45241,https://thevoiceofblackcincinnati.com/black-owned-business/compress-cpr-and-first-aid-training/
Cora's Cakery,,,https://www.corascakery.org/,Email available (Cloudflare protected),513-497-9067,517 W 7th St.,Newport,KY,41071,https://thevoiceofblackcincinnati.com/black-owned-business/coras-cakery/
Cove 51 Night Club,,,https://www.facebook.com/cove51/,Email available (Cloudflare protected),513-283-0643,11473 Chester Road,Cincinnati,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/cove-51/
Cream + Sugar Coffee House,,,https://www.creamandsugarcoffeehouse.com/,Email available (Cloudflare protected),513-731-0100,3546 Montgomery Rd,Cincinnati,OH,45207,https://thevoiceofblackcincinnati.com/black-owned-business/cream-sugar/
Creative Soul Studios Photography and Videography,,,https://creativesoul.studio,Email available (Cloudflare protected),(513) 498-8842,2701 Spring Grove Ave,Cincinnati,OH,45225,https://thevoiceofblackcincinnati.com/black-owned-business/creative-soul-studios/
Creekwood Commercial Energy Management,,,http://creekwoodenergy.com/,Email available (Cloudflare protected),513-448-0988,2692 Madison Road,Cincinnati,OH,45208,https://thevoiceofblackcincinnati.com/black-owned-business/creekwood-energy/
Crown Kids Healthy Hair Care,,,https://crownkidshair.com/,Email available (Cloudflare protected),513-313-0455,7100 Foundry Row Suite 288-13,Liberty Twp,OH,45069,https://thevoiceofblackcincinnati.com/black-owned-business/crown-kids-healthy-hair-care/
Cultural Wellness,,,https://myculturalwellness.com,Email available (Cloudflare protected),513-995-6790,P.O. Box 281,Amelia,OH,46102,https://thevoiceofblackcincinnati.com/black-owned-business/cultural-wellness/
Curvy Cardio Fitness Classes,,,https://www.facebook.com/curvycardio/,Email available (Cloudflare protected),513-427-3919,617 Clinton Springs Ave,Cincinnati,OH,45229,https://thevoiceofblackcincinnati.com/black-owned-business/curvy-cardio/
Cut & Blow Hair Salon,,,https://www.vagaro.com/cutandblowsalon/,Email available (Cloudflare protected),(513) 948-2400,8030 Reading Road,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/cut-blow/
Dada Smokes BBQ & Catering,,,http://dadasmokes.com/,Email available (Cloudflare protected),859-363-6133,517 W 7th Street,Newport,KY,41071,https://thevoiceofblackcincinnati.com/black-owned-business/dada-smokes-bbq-catering/
Darou Salam Restaurant,,,https://www.facebook.com/pages/Darou-Salam-Restaurant/115375481818431/,Email available (Cloudflare protected),513-681-3663,4163 Hamilton Ave,Cincinnati,OH,45223,https://thevoiceofblackcincinnati.com/black-owned-business/darou-salam-restaurant/
Dats Ole School Cookin,,,https://www.facebook.com/cafefoodforthesoul/,Email available (Cloudflare protected),513-578-4542‬,1719 Elm Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/dats-ole-school-cookin/
Davis Cookie Collection,,,http://www.daviscookiecollection.com,Email available (Cloudflare protected),513-242-2483,4926 Reading Road,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/davis-cookie-collection/
Dawson Cleaning Supplies LLC,,,https://dawsongreencleaningsupplies.com/,Email available (Cloudflare protected),(513) 964-0776,7523 Reading Road,Cincinnati,OH,45237,https://thevoiceofblackcincinnati.com/black-owned-business/dawson-cleaning-supplies/
Dee-Licious Pound Cakes,,,https://deeliciouspoundcakes.com/,Email available (Cloudflare protected),513-770-0947,9378 Mason Montgomery Road,Mason,OH,45040,https://thevoiceofblackcincinnati.com/black-owned-business/dee-licious-pound-cakes-llc/
Dentistry Details,,,https://www.dentistrydetailscincy.com/,Email available (Cloudflare protected),513-847-4692,8919 Brookside Ave,West Chester,OH,45069,https://thevoiceofblackcincinnati.com/black-owned-business/dentistry-details/
Dipped Sweets,,,https://mydippedsweets.com/,Email available (Cloudflare protected),513-687-3690,1719 Elm Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/dipped-sweets/
Diversion Private Investigations,,,http://www.diversioninvestigations.com/,Email available (Cloudflare protected),513-618-6440,11427 Reed Hartman Highway,Blue Ash,OH,45241,https://thevoiceofblackcincinnati.com/black-owned-business/diversion-investigations/
Divine Appetite Cafe,,,https://divineappetitecafe.menufy.com/,Email available (Cloudflare protected),513-777-2111,8982 Cincinnati Columbus Road,Cincinnati,OH,45069,https://thevoiceofblackcincinnati.com/black-owned-business/divine-appetite-cafe-and-catering/
dj.edits Editorial Services Company,,,http://yourwordsonlybetter.com,Email available (Cloudflare protected),513-417-2594,4248 Kirby Avenue,Cincinnati,OH,45223,https://thevoiceofblackcincinnati.com/black-owned-business/dj-edits/
DNK Architects,,,https://dnkarchitects.com/,Email available (Cloudflare protected),513-948-4146,2616 Central Parkway,Cincinnati,OH,45214,https://thevoiceofblackcincinnati.com/black-owned-business/dnk-architects/
Dot's Fine Shoe Repair,,,http://www.thevoiceofyourcustomer.com/,Email available (Cloudflare protected),513-242-4666,4813 Vine Street,Cincinnati,OH,45217,https://thevoiceofblackcincinnati.com/black-owned-business/dots-fine-shoe-repair/
